phoneme,lips-open-up,lips-open-side,lips-open-forward,lips-closed,teeth,tongue,throat
ɹ,0,.5,.5,0,0,0,0
ɹ:,0,-.5,-.5,0,0,0,0
u,0,0,1,0,0,0,0
u:,0,0,-1,0,0,0,0
o,.5,0,.5,0,0,0,0
o:,-.5,0,-.5,0,0,0,0
ɑ,1,.5,.5,0,0,0,0
ɑ:,-1,-.5,-.5,0,0,0,0
a,1,0,0,0,0,0,0
a:,-1,0,0,0,0,0,0
e,.5,.5,0,0,0,0,0
e:,-.5,-.5,0,0,0,0,0
ə,.5,.5,.5,0,0,0,0
ə:,-.5,-.5,-.5,0,0,0,0
i,1,0,0,0,0,0,0
i:,-1,0,0,0,0,0,0
p,0,0,0,1,0,0,0
m,0,0,0,-.7,0,0,0
b,0,0,0,-1,0,0,0
f,0,0,0,1,1,0,0
v,0,0,0,-1,-1,0,0
s,0,0,0,0,1,0,0
z,0,0,0,0,-1,0,0
ʃ,0,0,0,0,.7,0,0
ʒ,0,0,0,0,-.7,0,0
θ,0,0,0,0,1,1,0
ð,0,0,0,0,-1,-1,0
t,0,0,0,0,0,1,0
d,0,0,0,0,0,-1,0
r,0,0,0,0,0,.9,0
n,0,0,0,0,0,-.7,0
Ꮠ,0,0,0,0,0,.8,0
l,0,0,0,0,0,-.8,0
k,0,0,0,0,0,1,1
g,0,0,0,0,0,-1,-1
',0,0,0,0,0,0,1
h,0,0,0,0,0,0,-1